PNW,1,PNW creates file successfully
PPG,1,PPG creates file successfully
PPL,1,PPL creates file successfully
PRGO,1,PRGO creates file successfully
PRU,1,PRU creates file successfully
PSA,2,PSA creates file successfully
PSX,1,PSX creates file successfully
PVH,1,PVH creates file successfully
PWR,1,PWR creates file successfully
PXD,1,PXD creates file successfully
PYPL,1,PYPL creates file successfully
QCOM,1,QCOM creates file successfully
QRVO,1,QRVO creates file successfully
RCL,1,RCL creates file successfully
RE,1,RE creates file successfully
REG,2,REG creates file successfully
REGN,1,REGN creates file successfully
RF,1,RF creates file successfully
RHI,1,RHI creates file successfully
RJF,1,RJF creates file successfully
RL,1,RL creates file successfully
RMD,1,RMD creates file successfully
ROK,1,ROK creates file successfully
ROL,1,ROL creates file successfully
ROP,1,ROP creates file successfully
ROST,1,ROST creates file successfully
RSG,1,RSG creates file successfully
RTN,0,RTN creates file successfully
SBAC,1,SBAC creates file successfully
SBUX,1,SBUX creates file successfully
SCHW,1,SCHW creates file successfully
SEE,1,SEE creates file successfully
SHW,1,SHW creates file successfully
SIVB,1,SIVB creates file successfully
SJM,1,SJM creates file successfully
SLB,1,SLB creates file successfully
SLG,2,SLG creates file successfully
SNA,1,SNA creates file successfully
SNPS,1,SNPS creates file successfully
SO,1,SO creates file successfully
SPG,2,SPG creates file successfully
SPGI,1,SPGI creates file successfully
SRE,1,SRE creates file successfully
STI,0,STI creates file successfully
STT,1,STT creates file successfully
STX,1,STX creates file successfully
STZ,1,STZ creates file successfully
SWK,1,SWK creates file successfully
SWKS,1,SWKS creates file successfully
SYF,1,SYF creates file successfully
SYK,1,SYK creates file successfully
SYMC,0,SYMC does not have data
SYY,1,SYY creates file successfully
T,1,T creates file successfully
TAP,1,TAP creates file successfully
TDG,1,TDG creates file successfully
TEL,1,TEL creates file successfully
TFX,1,TFX creates file successfully
TGT,1,TGT creates file successfully
TIF,1,TIF creates file successfully
TJX,1,TJX creates file successfully
TMK,0,TMK does not have data
TMO,1,TMO creates file successfully
TMUS,1,TMUS creates file successfully
TPR,1,TPR creates file successfully
TRIP,1,TRIP creates file successfully
TROW,1,TROW creates file successfully
TRV,1,TRV creates file successfully
TSCO,1,TSCO creates file successfully
TSN,1,TSN creates file successfully
TSS,0,TSS does not have data
TTWO,1,TTWO creates file successfully
TWTR,1,TWTR creates file successfully
TXN,1,TXN creates file successfully
TXT,1,TXT creates file successfully
UA,0,UA creates file successfully
UAA,1,UAA creates file successfully
UAL,1,UAL creates file successfully
UDR,2,UDR creates file successfully
UHS,1,UHS creates file successfully
ULTA,1,ULTA creates file successfully
UNH,1,UNH creates file successfully
UNM,1,UNM creates file successfully
UNP,1,UNP creates file successfully
UPS,1,UPS creates file successfully
URI,1,URI creates file successfully
USB,1,USB creates file successfully
UTX,0,UTX creates file successfully
V,1,V creates file successfully
VAR,1,VAR creates file successfully
VFC,1,VFC creates file successfully
VIAB,0,VIAB does not have data
VLO,1,VLO creates file successfully
VMC,1,VMC creates file successfully
VNO,2,VNO creates file successfully
VRSK,1,VRSK creates file successfully
VRSN,1,VRSN creates file successfully
VRTX,1,VRTX creates file successfully
VTR,2,VTR creates file successfully
VZ,1,VZ creates file successfully
WAB,1,WAB creates file successfully
WAT,1,WAT creates file successfully
WBA,1,WBA creates file successfully
WCG,0,WCG does not have data
WDC,1,WDC creates file successfully
WEC,1,WEC creates file successfully
WELL,2,WELL creates file successfully
WFC,1,WFC creates file successfully
WHR,1,WHR creates file successfully
WLTW,1,WLTW creates file successfully
WM,1,WM creates file successfully
WMB,1,WMB creates file successfully
WMT,1,WMT creates file successfully
WRK,1,WRK creates file successfully
WU,1,WU creates file successfully
WY,1,WY creates file successfully
WYNN,1,WYNN creates file successfully
XEC,1,XEC creates file successfully
XEL,1,XEL creates file successfully
XLNX,1,XLNX creates file successfully
XOM,1,XOM creates file successfully
XRAY,1,XRAY creates file successfully
XRX,1,XRX creates file successfully
XYL,1,XYL creates file successfully
YUM,1,YUM creates file successfully
ZBH,1,ZBH creates file successfully
ZION,1,ZION creates file successfully
ZTS,1,ZTS creates file successfully
,,
