Symbol,Date,Prd_End,Estimate,Reported,Surprise
NDAQ,2019-10-23,Sep 2019,1.21,1.27,0.049586776859504175
NEE,2019-10-22,Sep 2019,2.27,2.39,0.05286343612334806
NEM,2019-11-05,Sep 2019,0.4,0.36,-0.10000000000000009
NFLX,2019-10-16,Sep 2019,1.05,1.47,0.3999999999999999
NKE,2019-09-24,Aug 2019,0.71,0.86,0.21126760563380287
NKTR,2019-11-06,Sep 2019,0.73,0.56,-0.23287671232876703
NLSN,2019-11-07,Sep 2019,0.42,0.51,0.21428571428571436
NOC,2019-10-24,Sep 2019,4.74,5.49,0.1582278481012658
NOV,2019-10-28,Sep 2019,0.1,0.61,5.1
NRG,2019-11-07,Sep 2019,2.14,1.88,-0.12149532710280384
NSC,2019-10-23,Sep 2019,2.57,2.58,0.003891050583657678
NTAP,2019-11-13,Oct 2019,0.94,1.09,0.15957446808510653
NTRS,2019-10-23,Sep 2019,1.64,1.69,0.03048780487804881
NUE,2019-10-22,Sep 2019,0.8,0.9,0.12499999999999997
NVDA,2019-11-14,Oct 2019,1.57,1.78,0.13375796178343946
NWL,2019-11-01,Sep 2019,0.56,0.73,0.30357142857142844
NWSA,2019-11-07,Sep 2019,0.04,0.04,0.0
O,2019-11-04,Sep 2019,0.83,0.83,0.0
OKE,2019-10-29,Sep 2019,0.74,0.74,0.0
OMC,2019-10-15,Sep 2019,1.3,1.32,0.015384615384615398
ORCL,2019-09-11,Aug 2019,0.81,0.81,0.0
ORLY,2019-10-23,Sep 2019,4.78,5.08,0.06276150627615058
OXY,2019-11-04,Sep 2019,0.41,0.11,-0.7317073170731707
PAYX,2019-10-02,Aug 2019,0.69,0.71,0.02898550724637684
PBCT,2019-10-17,Sep 2019,0.33,0.34,0.030303030303030328
PCAR,2019-10-22,Sep 2019,1.62,1.75,0.08024691358024684
PEG,2019-10-31,Sep 2019,0.95,0.98,0.03157894736842108
PEP,2019-10-03,Sep 2019,1.5,1.56,0.040000000000000036
PFE,2019-10-29,Sep 2019,0.63,0.75,0.19047619047619047
PFG,2019-10-24,Sep 2019,1.46,1.23,-0.15753424657534246
PG,2019-10-22,Sep 2019,1.24,1.37,0.10483870967741944
PGR,2019-10-16,Sep 2019,1.33,1.42,0.06766917293233071
PH,2019-10-31,Sep 2019,2.64,2.76,0.045454545454545324
PHM,2019-10-22,Sep 2019,0.92,1.01,0.0978260869565217
PKG,2019-10-23,Sep 2019,1.9,1.92,0.010526315789473694
PKI,2019-10-30,Sep 2019,1.01,1.06,0.04950495049504955
PLD,2019-10-15,Sep 2019,0.93,0.97,0.043010752688171956
PM,2019-10-17,Sep 2019,1.35,1.43,0.059259259259259144
PNC,2019-10-16,Sep 2019,2.8,2.94,0.050000000000000044
PNR,2019-10-23,Sep 2019,0.55,0.58,0.05454545454545439
PNW,2019-11-07,Sep 2019,3.03,2.77,-0.08580858085808575
PPG,2019-10-17,Sep 2019,1.61,1.67,0.037267080745341505
PPL,2019-11-05,Sep 2019,0.61,0.61,0.0
PRGO,2019-11-06,Sep 2019,0.93,1.04,0.1182795698924731
PRU,2019-11-04,Sep 2019,3.08,3.22,0.04545454545454549
PSA,2019-10-29,Sep 2019,2.74,1.93,-0.29562043795620446
PSX,2019-10-25,Sep 2019,2.6,3.11,0.19615384615384607
PVH,2019-11-25,Oct 2019,3.0,3.1,0.03333333333333336
PWR,2019-10-31,Sep 2019,1.04,1.14,0.09615384615384602
PXD,2019-11-04,Sep 2019,2.02,1.99,-0.014851485148514865
PYPL,2019-10-23,Sep 2019,0.52,0.61,0.17307692307692302
QCOM,2019-11-06,Sep 2019,0.71,0.78,0.09859154929577474
QRVO,2019-10-31,Sep 2019,1.3,1.52,0.1692307692307692
RCL,2019-10-30,Sep 2019,4.31,4.27,-0.00928074245939676
RE,2019-10-28,Sep 2019,2.07,3.39,0.63768115942029
REG,2019-10-30,Sep 2019,0.96,0.34,-0.6458333333333333
REGN,2019-11-05,Sep 2019,6.33,6.67,0.05371248025276459
RF,2019-10-22,Sep 2019,0.39,0.39,0.0
RHI,2019-10-23,Sep 2019,1.01,1.01,0.0
RJF,2019-10-23,Sep 2019,1.99,2.0,0.005025125628140708
RL,2019-11-07,Sep 2019,2.39,2.55,0.06694560669456054
RMD,2019-10-24,Sep 2019,0.87,0.93,0.06896551724137938
ROK,2019-11-12,Sep 2019,1.92,2.01,0.04687499999999993
ROL,2019-10-23,Sep 2019,0.22,0.22,0.0
ROP,2019-10-24,Sep 2019,3.19,3.29,0.03134796238244517
ROST,2019-11-21,Oct 2019,0.97,1.03,0.06185567010309284
RSG,2019-10-30,Sep 2019,0.85,0.91,0.07058823529411772
SBAC,2019-10-28,Sep 2019,2.08,0.19,-0.9086538461538461
SBUX,2019-10-30,Sep 2019,0.7,0.7,0.0
SCHW,2019-10-15,Sep 2019,0.65,0.74,0.1384615384615384
SEE,2019-11-06,Sep 2019,0.63,0.64,0.015873015873015886
SHW,2019-10-22,Sep 2019,6.46,6.65,0.029411764705882415
SIVB,2019-10-24,Sep 2019,4.99,5.15,0.03206412825651305
SJM,2019-11-22,Oct 2019,2.13,2.26,0.06103286384976521
SLB,2019-10-18,Sep 2019,0.4,0.43,0.07499999999999993
SLG,2019-10-16,Sep 2019,1.73,1.75,0.011560693641618507
SNA,2019-10-17,Sep 2019,2.94,2.96,0.00680272108843538
SNPS,2019-12-04,Oct 2019,1.13,1.15,0.017699115044247805
SO,2019-10-30,Sep 2019,1.14,1.34,0.17543859649122825
